"","Gene","log2FC","pVal","qVal","Direction"
"1","ANK3",1.47669249722297e-18,0.999999997624334,1,"UP"
"2","AGFG1",0.132667628553055,0.0763812461654513,0.573336566800325,"UP"
"3","PTMA",-2.92569137968158e-17,0.999999990223818,1,"DOWN"
"4","PPFIA4",-0.00789789111459277,0.688095453141486,1,"DOWN"
"5","MAG",6.74143997173073e-17,0.999999982794918,1,"UP"
"6","NFASC",0,1,1,"DOWN"
"7","ELOC",-0.0959432064120174,0.28835739684122,1,"DOWN"
"8","PLPPR2",-2.29611252854812e-18,0.999999998018631,1,"DOWN"
"9","CACNA1C",7.44170370334106e-12,0.999994888018979,1,"UP"
"10","ABI2",-0.0892733140372828,0.187389247762792,0.862112221038559,"DOWN"
"11","TRIP12",0,1,1,"DOWN"
"12","SLC26A6",0,1,1,"DOWN"
"13","CACNA1E",2.12743362479197e-18,0.999999996672277,1,"UP"
"14","SH3BGRL2",-0.0401907994942507,0.577141686530738,1,"DOWN"
"15","NUDT16",-1.65447991002501e-17,0.999999987924929,1,"DOWN"
"16","2310035C23RIK;KIAA1468",1.33281017467883e-19,0.999999999715547,1,"UP"
"17","NDUFS1",0.138053491839322,0.189516660308276,0.867181907414229,"UP"
"18","GCDH",0.0247455332131742,0.509967085137187,1,"UP"
"19","S100A13",4.35087268136202e-17,0.999999988634936,1,"UP"
"20","TUBA4A",-1.29806824849135e-18,0.999999998167838,1,"DOWN"
"21","BC003331;ODR4",3.53362952329825e-18,0.999999996865885,1,"UP"
"22","TENM2",1.2011995394164e-14,0.999999734258416,1,"UP"
"23","MAPT",0.0898528107895546,0.157290219374733,0.789319602239973,"UP"
"24","ARHGAP21",0.00372389448650783,0.775637057895501,1,"UP"
"25","GAPDH;GM3839;GM10358",5.69749027019389e-18,0.999999993024125,1,"UP"
"26","EIF5A",-5.04438956902634e-18,0.999999996574283,1,"DOWN"
"27","ILDR2",0.0795084379957504,0.196275465871039,0.88013397195969,"UP"
"28","RGS7",-2.93318229521224e-16,0.999999961632188,1,"DOWN"
"29","GM8797;UBA52;KXD1;UBC;UBB;RPS27A",5.94169634581542e-15,0.999999858068909,1,"UP"
"30","NAA15",0,1,1,"DOWN"
"31","RAPGEF2",-0.098154960957191,0.0848785550034332,0.60122283876364,"DOWN"
"32","ABI1",-0.100260107572237,3.35847415009303e-05,0.0063452771609091,"DOWN"
"33","RAB3GAP2",0.0091187168657576,0.650653937986475,1,"UP"
"34","TUSC2",0,1,1,"DOWN"
"35","BRINP2",0.0795167178493073,0.224681471839864,0.947540611896093,"UP"
"36","ATP6V1H",-0.0522931268684363,0.225022893707848,0.947570402329926,"DOWN"
"37","PRKAR2A",0.0361674424215685,0.435946045960524,1,"UP"
"38","CRYZ",-0.0492340894545697,0.185782067606907,0.858036672370778,"DOWN"
"39","PCDH9",0.0238070557336876,0.564767733505943,1,"UP"
"40","GPX1",0.0833508675319534,0.108995404101853,0.662036853277961,"UP"
"41","NCAM1",0,1,1,"DOWN"
"42","CAMSAP2",0,1,1,"DOWN"
"43","NCAM1",0.0755352624478241,0.120655395479057,0.696410164536962,"UP"
"44","KPNA4",4.34006960849058e-19,0.999999998583329,1,"UP"
"45","ABCD3",2.10901473377645e-15,0.999999894444375,1,"UP"
"46","ACHE",0,1,1,"DOWN"
"47","GABRA4",0,1,1,"DOWN"
"48","LRRC7",9.53431143344842e-19,0.999999998346738,1,"UP"
"49","RPS27;RPS27L",-0.0561876242631012,0.360843983582597,1,"DOWN"
"50","UBE2D3;UBE2D2;UBE2D2B",-0.0970951789225814,0.090800510529106,0.628446633864208,"DOWN"
"51","PROM1",0.00387571350007958,0.83309778360323,1,"UP"
"52","SH3GLB1",0,1,1,"DOWN"
"53","ACOT11",-0.150223509275255,0.0285261943759887,0.385933715667834,"DOWN"
"54","AMPH",-0.112625145114658,0.135945258195669,0.738084507942672,"DOWN"
"55","FXR1",0,1,1,"DOWN"
"56","DNAJB6;DNAJB7",-7.8354660034539e-17,0.999999994809125,1,"DOWN"
"57","RIMBP2",3.32350810367433e-19,0.999999999096296,1,"UP"
"58","TDRKH",0,1,1,"DOWN"
"59","ADGRL2",0.0913639893226303,0.148473342322706,0.769053349915042,"UP"
"60","SPATA5;KATNAL2",0.15735932134907,0.346680935020531,1,"UP"
"61","NRAS",4.67373390579822e-19,0.999999998674171,1,"UP"
"62","CDKL5",2.21625407629486e-19,0.999999999142651,1,"UP"
"63","ATP1A3",0.049517882547044,0.426452616717317,1,"UP"
"64","PLPPR4",-7.94281683534769e-17,0.999999988899318,1,"DOWN"
"65","EIF4E",-1.6031742954702e-15,0.999999899104148,1,"DOWN"
"66","UBAP2L",0,1,1,"DOWN"
"67","SEPT11",0.0300056329780903,0.4717410013216,1,"UP"
"68","CTBP1",-0.150615614531495,0.119265000258753,0.694039036413361,"DOWN"
"69","HMGB1",0,1,1,"DOWN"
"70","SPECC1",-6.35813326801311e-17,0.999999990060414,1,"DOWN"
"71","UBE2K",-1.69749101138475e-18,0.999999997580366,1,"DOWN"
"72","DNM1",-2.93637288056597e-17,0.999999991203214,1,"DOWN"
"73","SCN8A",0,1,1,"DOWN"
"74","CADPS2",-3.59849161177791e-17,0.999999995316825,1,"DOWN"
"75","NFU1",4.41696799838378e-18,0.999999995337987,1,"UP"
"76","PRRT3",7.10954943971702e-15,0.999999756970877,1,"UP"
"77","2010107E04RIK;MP68",0.21152385010254,0.00860421844183851,0.209495473849118,"UP"
"78","GNG12",0.0746780274463869,0.195460197887575,0.87786719621773,"UP"
"79","RAB11FIP5",-2.36882403543376e-18,0.999999996399737,1,"DOWN"
"80","ATP6V1E1",0,1,1,"DOWN"
"81","PLEKHA5",0,1,1,"DOWN"
"82","NDUFA9",0.12662291151412,0.0688064944338301,0.543168816784051,"UP"
"83","ACSBG1",-0.134022301902606,0.0141702752078115,0.271341621209039,"DOWN"
"84","NCAN",1.55230153545178e-18,0.999999999831383,1,"UP"
"85","THOP1",-1.52635411450803e-16,0.999999969264342,1,"DOWN"
"86","APLP1",-0.0890774556326479,0.0848507668165154,0.60122283876364,"DOWN"
"87","AUH",0.128914286302151,0.0593854322646385,0.509739714405243,"UP"
"88","NEFM",-9.07317442867025e-18,0.999999994957818,1,"DOWN"
"89","PRMT5",0,1,1,"DOWN"
"90","ACADL",-4.61022720391213e-17,0.999999982924932,1,"DOWN"
"91","SLC6A17",3.56121216148326e-12,0.999993095660858,1,"UP"
"92","F3",0,1,1,"DOWN"
"93","CMPK1",-1.41437671140126e-19,0.999999999608569,1,"DOWN"
"94","FAHD2A;FAHD2",-0.113162805363757,0.149390521525724,0.769053349915042,"DOWN"
"95","SLC17A6",0.0802457792168255,0.570246837839768,1,"UP"
"96","BC017158;sp|Q91W34|RUS1_MOUSE",0.0485334604755753,0.313248202414969,1,"UP"
"97","SH3GL3",-0.00352068078955555,0.826716123364504,1,"DOWN"
"98","STT3B",0,1,1,"DOWN"
"99","GAK",-2.48316103193937e-11,0.999989069977242,1,"DOWN"
"100","PCK2",-0.064065226565892,0.110093314294669,0.663839261087428,"DOWN"
"101","EML4",0,1,1,"DOWN"
"102","LRP1",2.56790362907247e-16,0.999999972094527,1,"UP"
"103","ACAD8",0.113764272067477,0.0628320962643861,0.521355237525025,"UP"
"104","RTN4IP1",0.0395536365953029,0.388108658135879,1,"UP"
"105","LLGL1",-0.0724056829371039,0.155741556800641,0.788163521380389,"DOWN"
"106","LRRC40",0,1,1,"DOWN"
