"","Gene","log2FC","pVal","qVal","Direction"
"1","2010107E04RIK;MP68",0.160083324292558,0.0163794674797066,0.137924349785166,"UP"
"2","AGFG1",0.119242075192301,0.060247654216117,0.24580675471881,"UP"
"3","PTMA",-0.026424941926728,0.710047719116735,1,"DOWN"
"4","PPFIA4",4.49724459447807e-17,0.999999986475348,1,"UP"
"5","ABHD12",0.120313404588593,0.00109172738320004,0.0297687911309612,"UP"
"6","NFASC",0.185710684642931,0.0883499736711305,0.292846579396472,"UP"
"7","ELOC",-0.108495869483503,0.0741433979555765,0.269446068381433,"DOWN"
"8","PLPPR2",0.00896671671168361,0.765132532651352,1,"UP"
"9","CACNA1C",0.0427908638046039,0.323850483020179,0.621810480270453,"UP"
"10","ABI2",-0.10601291694807,0.00232492097080872,0.0474016261242584,"DOWN"
"11","TRIP12",0,1,1,"DOWN"
"12","SLC26A6",0.0554434955384494,0.279198858645389,0.56116990453974,"UP"
"13","CACNA1E",0.0938439122296982,0.0882682355114641,0.292846579396472,"UP"
"14","SH3BGRL2",-0.138491267089467,0.163862453409964,0.408557770777571,"DOWN"
"15","NUDT16",0,1,1,"DOWN"
"16","2310035C23RIK;KIAA1468",0.0256952805959188,0.301685182100863,0.593487353828301,"UP"
"17","NDUFS1",0.237297832351142,0.108715319270173,0.323973937762008,"UP"
"18","ACAA2",0.163475078981425,0.00125388517410721,0.0324938289618061,"UP"
"19","S100A13",0.0625931495969191,0.354882108538829,0.666933617771248,"UP"
"20","TUBA4A",-0.0249039519535742,0.442230446320827,0.776025439549983,"DOWN"
"21","BC003331;ODR4",0.15424855450826,0.0771701096751019,0.275151520844684,"UP"
"22","ACAD8",0.188530109302456,0.00064538397905832,0.0223050999591619,"UP"
"23","MAPT",0.0198144289980762,0.533005383506248,0.898060200271526,"UP"
"24","ACADM",0.217921725527627,0.000861403383073035,0.0265947454095598,"UP"
"25","GAPDH;GM3839;GM10358",4.61384995410013e-18,0.999999995852052,1,"UP"
"26","EIF5A",-0.0862925038240309,0.232764756036025,0.498605682997803,"DOWN"
"27","ACAN",0.136886412166536,0.00519493427998883,0.0747332170024789,"UP"
"28","RGS7",0,1,1,"DOWN"
"29","GM8797;UBA52;KXD1;UBC;UBB;RPS27A",0.101536158823881,0.0894297484964759,0.29353580291446,"UP"
"30","NAA15",0,1,1,"DOWN"
"31","RAPGEF2",-0.0549181074522821,0.112482548941307,0.33136750904331,"DOWN"
"32","ACAA1A;ACAA1B",-0.194634637247305,0.0259271620531163,0.166255103525335,"DOWN"
"33","RAB3GAP2",0.0381734094073212,0.204960371588056,0.460267585642275,"UP"
"34","TUSC2",0,1,1,"DOWN"
"35","BRINP2",0.0715835381068694,0.151055324899986,0.392830513552403,"UP"
"36","ACAP2",-0.108562808410698,0.0397690295892214,0.205267134828906,"DOWN"
"37","PRKAR2A",0.0334507249988085,0.415390816052776,0.741788010518945,"UP"
"38","CRYZ",-6.30824670511001e-16,0.999999957585394,1,"DOWN"
"39","PCDH9",0.00176678435185161,0.866009432115292,1,"UP"
"40","GPX1",0,1,1,"DOWN"
"41","NCAM1",0.0101601004917891,0.744309679025041,1,"UP"
"42","CAMSAP2",0,1,1,"DOWN"
"43","ADCY3",0.110833388843056,0.00752230595852563,0.0904759743945224,"UP"
"44","KPNA4",-0.00529242929019273,0.80632240520105,1,"DOWN"
"45","ABCD3",0.0767902738425096,0.0533372492554903,0.232908727873743,"UP"
"46","ACHE",0.0258722071742534,0.431665330619886,0.762205325219164,"UP"
"47","GABRA4",0,1,1,"DOWN"
"48","ADCY9",0.131992925581101,0.0101372126039397,0.110922241388282,"UP"
"49","RPS27;RPS27L",0,1,1,"DOWN"
"50","ACTN1",-0.299869407349872,0.00339081704484992,0.0589544509515624,"DOWN"
"51","PROM1",0,1,1,"DOWN"
"52","SH3GLB1",-0.0701270744800593,0.310811700904936,0.605804924597378,"DOWN"
"53","ACTN2",-0.168015878982545,0.0240321998510683,0.1629360152582,"DOWN"
"54","ACTN4",-0.161698693486746,0.0036182591378058,0.0609539493207646,"DOWN"
"55","FXR1",0.00707135258770992,0.719068754255177,1,"UP"
"56","DNAJB6;DNAJB7",1.59174853759901e-17,0.999999992086928,1,"UP"
"57","RIMBP2",0.0186439219498048,0.540792300989461,0.909018612695215,"UP"
"58","TDRKH",0,1,1,"DOWN"
"59","ADGRL2",0.130608355803756,0.051963351776614,0.229741246388337,"UP"
