"","logFC","logCPM","LR","PValue","FDR"
"Gm15610",-6.43349887117303,-1.89593701015916,16.9556413958007,3.82634476597063e-05,0.00271856960890559
"Gm13394",6.28382590310441,2.98713821973694,22.4532708957988,2.15318511703758e-06,0.000234768751777607
"Gm50357",5.42700559571788,-2.12961144679637,12.2178808083884,0.000473336655862815,0.0207241425043562
"Psg29",5.33653466515859,-2.76120912587969,29.079388444788,6.94721861088233e-08,1.26596977658768e-05
"Prss22",5.26421169453268,-2.78298793364686,23.5838703636692,1.19585745971363e-06,0.000143941368435182
"Cst7",5.18096609000314,3.98310835895682,93.6391158313712,3.78630467331689e-22,3.72581845616065e-18
"Serpinf2",4.84885608870278,1.67687185907966,55.5452401242622,9.1332714179532e-14,1.08937786752138e-10
"Or5v1b",4.68462040017571,-1.41541552350374,47.9002194364741,4.48471421747435e-12,2.80194978276203e-09
"Itgax",4.66225702060907,3.99287897999176,102.707687098804,3.88434283699407e-24,7.64458092034618e-20
"Cdsn",4.6541016114631,1.31599594723727,74.1796640660497,7.13212477310218e-18,3.11919514660083e-14
"Mcoln3",4.61982755404189,-1.50731803510372,37.6837006615605,8.31968323552999e-10,2.61976841466957e-07
"Tgm1",4.59909989363936,2.56371738635723,49.8546663552312,1.65566154001781e-12,1.23870766070531e-09
"Gml",4.52957000356565,-3.14204784471707,16.0717743616634,6.09862913559626e-05,0.00397734282081514
"Gm6916",-4.47888191757389,-1.2671283704978,14.3118651503591,0.000154885541667584,0.00844383629581411
"Or5v1",4.46072458082669,-2.35363728402279,48.6836227216591,3.0076753317136e-12,1.94073948740293e-09
"Ppihl",4.43562845932237,-3.12133601871665,9.12087523519239,0.00252709027970381,0.0733005162118066
"Mrgprd",4.40767982497495,-1.03041512808439,6.39374660513473,0.0114523061329724,0.206590116514404
"Mmp27",4.3776940668422,-3.19751517333029,10.7983231958694,0.00101592073831435,0.0380110800197634
"Gm8986",-4.28066111675198,-2.94359627472376,8.52326485625,0.00350634890654295,0.0917642282649181
"Igfbpl1",4.17171281077067,1.88943304392537,51.710424038314,6.43203483247039e-13,5.60591125023513e-10
"Gm7002",4.17010390935112,-2.51132064308062,10.8126148723128,0.00100810815322273,0.0377906143038092
"Galp",4.15014137710332,-3.28031933029097,13.4035707055038,0.000251145753925023,0.0124186442825349
"Ccn5",4.1496442023981,2.47175813371502,41.521411239966,1.16587005264825e-10,5.27469093589514e-08
"Gm11222",4.02135239833432,-2.62808452597234,8.15261319282754,0.00429991549932895,0.106559045929151
"Gm48614",-3.98964255695915,-3.24340777078726,9.22211343594781,0.00239109373571568,0.0711382014599432
"Gm11942",-3.98812511592076,0.063115292299567,16.308673979993,5.38170433030078e-05,0.00362101306230716
"Gm34073",-3.98201781976453,-3.305054383403,14.789300709786,0.000120215637824452,0.00686764545777688
"Gpnmb",3.97618757295026,5.64439241087762,54.1048304830744,1.90073418616464e-13,2.02202157571964e-10
"Gm16092",-3.96185330109827,-3.30252964688607,6.27110517748688,0.0122722573532371,0.213832811722339
"Gm8719",3.92494057908425,-2.8469617970029,6.30114802734631,0.0120659806053854,0.212346975786045
"Klrb1b",3.90324127534439,-0.707943881041601,33.1349140514849,8.59808800526539e-09,1.9791189589196e-06
"Gm12735",3.89651368877836,-3.36711268465934,12.8828422868227,0.000331608238784736,0.0157339021102388
"Gm28437",3.8846269346224,1.41341086670915,3.98826553000339,0.0458182062891952,0.415255600805262
"Gm30660",-3.87612292504275,-3.33406532415442,14.0163684657349,0.000181226141299508,0.00950833243950798
"Cd200r4",3.83070367343381,-0.473456166576246,57.8281962980045,2.86040034573695e-14,4.69100909193337e-11
"Tnfsf11",3.81619771236594,-0.911473945441672,23.423391579255,1.29988267889592e-06,0.000152730394400066
"Gm37267",3.79748612297735,-3.39699281108453,14.3334242334107,0.000153121907957735,0.00836210046315596
"Gm37364",-3.78349182157238,-3.36519334322655,18.3207603398948,1.86661904218662e-05,0.0014994580275662
"Gm7924",-3.7638512788494,-3.24384478594193,7.32335554879467,0.00680642124918879,0.14679865577497
"Atp6v0d2",3.7580299839437,1.05187365883302,24.5044772345243,7.4137363243122e-07,9.56760903151648e-05
"Gm37949",3.7498368242391,-3.39497701890778,11.6946907110187,0.000626786876513078,0.0263016612435301
"4933432K03Rik",-3.72901115707935,-3.38910970356899,9.4784365992355,0.0020790106334485,0.0644345964906821
"Apoc4",3.72526505798864,-1.83578452319816,12.7502998136976,0.000355952101606027,0.0165414765895098
"Gm7986",-3.72503989823934,-3.38917038279946,11.6886604812188,0.00062882153089694,0.0263308981676962
"Tmem233",3.71425532606039,1.60732051297173,2.07742949108375,0.14949173808371,0.610325101411982
"Gm47903",3.68524349444811,-3.42694059554613,8.71310729870966,0.00315930248983122,0.0856508013806098
"Gm5038",3.67204951576164,-3.42877010840468,8.95436373078799,0.00276807579173595,0.0787810782635711
"Scn10a",3.6673977684428,0.873675608141731,4.04508929464489,0.0443000350115995,0.408359175197088
"Pdcd1",3.66056619124067,0.84370871380814,68.525443477994,1.25251098638251e-16,3.28667232900013e-13
"Gm11821",-3.65273187571883,-3.33747568182968,7.90066528745091,0.00494166187270629,0.116838371574439
"Gm57058",3.64480416988681,-1.44474135082826,23.8891883989222,1.0204324748746e-06,0.00012551638326106
"Gm14461",3.64088655776757,-2.82305620565393,22.1564577865007,2.51309203991545e-06,0.00026590810694385
"Clec7a",3.62131169720475,4.7152408430465,106.043323514786,7.21406694814557e-25,2.83952889145958e-20
"Or4e5",3.57367879380821,-3.14472073557411,7.86914772653986,0.00502853481881906,0.117954802743467
"Gm28610",3.53767764394969,-3.42865799663896,8.92997782581073,0.00280527752232716,0.0794047502600019
"Snord58b",-3.52158354435,-3.42546837652909,12.2857412069126,0.000456432090080646,0.0201860938176004
"Gm3375",3.51383788160642,1.5748661691685,5.29947495416422,0.0213318535530439,0.294860348783272
"Tm4sf19",3.51322564079801,-3.45987178618356,9.92209492612495,0.00163306399304421,0.0542439087174796
"Gm20614",-3.49199629504423,-3.42757274229409,8.48155321174077,0.0035876566235846,0.0931489131668295
"Hcar2",3.49115445661344,0.635417743834653,55.6343266519523,8.72860818355718e-14,1.07364608347811e-10
"Ifi202b",3.47855329539467,-1.95250650467941,5.9574074788487,0.0146555759264416,0.239227831938705
"Ftl2-ps",-3.47434649384609,-2.87805661162149,5.63709664513888,0.0175843029777221,0.263069460093546
"Gm13259",-3.4698097440242,-3.45706882192546,9.73727150728735,0.00180568731731828,0.0580967157803997
"Gabrr3",-3.46477735263517,-3.45857100228591,12.3691460268823,0.000436487205404112,0.0195233782862628
"Gm37768",3.45041875584757,-3.49084696041985,4.87279176182591,0.0272833279903832,0.330204213803195
"Pira12",3.44862411251552,-3.49120022422562,8.25318076525473,0.00406806560325719,0.102315099175595
"Gm12534",3.4468102725159,-3.49132624650868,8.31426481491219,0.00393349219451122,0.0997591406366986
"Igkv3-2",3.44494143548024,-3.45995845572007,8.03972883058185,0.00457623869330084,0.111051375590021
"Fosl1",3.4424225035451,0.661415748869474,49.8401775569458,1.66793287816319e-12,1.23870766070531e-09
"1700099I09Rik",3.41408369359377,-3.49145203271697,12.8547799293258,0.000336618292243949,0.0158868496415037
"Gm20546",3.41329687100439,-3.49215582935864,10.2018084321636,0.00140302997873499,0.0484852177286989
"Sprr1a",3.36981681439683,2.4067191977778,82.9895037603224,8.24902432413124e-20,5.29589875626874e-16
"Igkv3-4",3.36476098092828,-3.49206923327295,10.7059038880322,0.00106794200177118,0.039395749889143
"4930430E12Rik",3.36416235593722,-2.7428695516544,11.6449444088463,0.00064377257892617,0.0267859751364831
"Skint7",3.36407106004587,-3.49216707907984,10.7114826464733,0.00106472673985224,0.0393392278857521
"Stra6l",3.36024592632165,-0.323766791620424,33.3825797737204,7.56989940110339e-09,1.76306988359071e-06
"Gm7123",-3.35270157599518,-3.4878187079156,9.58996876738783,0.00195643274154546,0.0616484738608808
"3110043J17Rik",-3.34481931850205,-3.48875416596723,9.00673304345973,0.002689868033345,0.0770566926204458
"Ppl",3.33908318499164,0.899092687304344,51.4854282037528,7.21304960330848e-13,5.91485094657969e-10
"Cd22",3.33739843154535,2.06093030575101,58.6295557135283,1.90335658239673e-14,3.40536447453262e-11
"Gm5152",3.332484116694,-3.52323452888878,9.83821873672531,0.00170922931616633,0.0555090553742764
"Gm5103",-3.33178757367947,-3.48705794166349,8.99568678774137,0.00270617553797056,0.077354956681234
"2210017I01Rik",3.32785144678172,-3.22532770084056,6.0116240179483,0.0142119416208802,0.23455880363572
"Gm6356",3.31433662373214,-1.4060028414924,2.55127351207924,0.110205391397675,0.563057426116809
"Wfdc15a",3.30971492684124,-3.52502026822412,8.49805103260293,0.00355527099498771,0.0926748487640472
"C1rb",3.30890964484751,-3.22397780448735,8.23443067114634,0.0041103063924306,0.102982667035303
"Gm13425",3.30245621945589,-2.02628518346539,4.69930344156139,0.0301748443555199,0.346954820989903
"Gm49382",3.27500358812196,-3.52693596390271,4.74045711201531,0.0294612422701453,0.343388793898487
"Gm16048",-3.27094285969566,-3.48939603450144,10.0668485429822,0.00150961026528567,0.0510918053756742
"Serpina3n",3.2618282809635,8.60668611548922,70.5334262862372,4.52533485381949e-17,1.37016696293222e-13
"Gm40377",3.25371451780786,-3.52478478386971,11.7023836042064,0.000624200872221184,0.0262210998201686
"S100g",-3.2523174437955,-3.52296478040554,10.6292283335357,0.00111314154592485,0.040795497569039
"Gm44798",-3.23201363102405,-3.48831793711757,10.2614429201397,0.00135839393988669,0.0471913008542629
"Epo",3.23157778106547,-3.22568773447254,12.8752980113745,0.000332947702955531,0.0157339021102388
"Tgm6",3.2308789507752,-3.27806391003165,9.5248441335314,0.00202708803801741,0.0631415392144102
