"","logFC","logCPM","LR","PValue","FDR"
"Ddx3y",8.15782175917434,4.5636673241448,5.3056868505527,0.0212559171426604,0.229220316343084
"Eif2s3y",8.11517409511256,3.19057023832118,6.27074652426117,0.0122747416571781,0.181225096162111
"Kdm5d",7.72655742838572,2.55425612748654,5.13993251538634,0.0233815570656487,0.239355388208322
"Uty",7.3524612109998,2.20336478358468,5.037613122379,0.0248026417993673,0.243152740078064
"Gm3375",6.75995152701226,-0.391641677945944,7.30268082117318,0.00688518064664408,0.141444465257076
"Gm13394",-6.55089103232325,3.2890923493995,23.0006880301361,1.61943430139495e-06,0.00632276365571111
"Ndufa12-ps",6.45078578020259,1.91108845549232,34.4292889630357,4.42021329998811e-09,8.6992007850416e-05
"Tdg-ps2",5.23266359085316,-2.30849624073878,12.7801067454517,0.000350324938259681,0.0467428471011502
"Gm8986",4.93230712324444,-2.4011738645118,5.62336604592558,0.0177225795069773,0.213718888472468
"Gm29650",4.79726767977079,0.389080027281841,7.02338505287838,0.00804519961344108,0.150176061198171
"Gm16068",-4.73591855052569,-2.9891417758492,35.8094893300843,2.17585529856404e-09,8.56438404067791e-05
"Ftl2-ps",4.52977193310789,-2.29751627477045,6.30535493916862,0.0120373811606957,0.179916808239214
"Hoxb13",4.48702817920652,0.370508225242125,3.59527436623702,0.0579440630691468,0.349645296100672
"Gm44617",-4.48687891671548,-3.2379552421369,18.0588484325888,2.1418090562244e-05,0.0227847962870402
"Gm32635",4.39712379141271,-3.13317457334085,9.75827974928782,0.00178516875623517,0.0876135005164245
"Gm55936",4.29268446563344,-2.94208869621466,8.00560990678412,0.00466326533979435,0.122466533900541
"Mrgpra3",4.23002103423019,-2.96774389065211,7.83217971889997,0.00513241698927867,0.127697259870416
"Gm6916",-4.18146582592793,-1.69254365021137,12.467236997353,0.000414152240192789,0.048818965288988
"Gm15610",-4.12314357218994,-2.50720993756213,7.93279053774272,0.00485468692537088,0.124241383296416
"1700122O11Rik",4.09003082867403,-3.45766292971073,14.9517994216832,0.000110292827502346,0.0333213934053813
"Il22ra1",-4.04092626613926,-3.41132634058428,13.1689428181437,0.000284627269145529,0.0446343184893912
"Gm19159",-4.02068288785985,-3.21540021469916,15.3090792553928,9.12767550116145e-05,0.0333213934053813
"Gm6394",4.01221452185283,-0.204860126405128,8.40088728312145,0.00375037910224224,0.113549830159137
"Gm13822",3.99529283450417,-3.40211717950227,14.924863884945,0.00011187870966394,0.0333610446294117
"Cpa3",3.99171980538587,-2.11007095536448,10.0268607358553,0.00154273746445015,0.0827298219866788
"5830415G21Rik",3.92712764929935,-2.94169196648129,15.9483013220965,6.50961687954953e-05,0.0288078290118369
"Myl10",3.88855861888694,-3.49064985010575,12.3718781315036,0.000435848955107058,0.0493594404221761
"Pon1",3.88258542590184,-3.45534585225802,11.4969442558085,0.000697107004891692,0.0598720293608917
"Gm336",-3.8676437279492,-3.41094396106656,14.0955172062966,0.000173757395473375,0.0377904061775204
"Hmgn2-ps1",3.8564609223986,-3.11105741190311,6.48191527240845,0.0108977494163081,0.172544776659414
"Gm9915",3.82447943174923,-3.50113666915041,13.5948243987195,0.000226809982591467,0.0407126092699142
"Gm5452",3.80734031583463,-2.58913246839002,4.9375469077694,0.0262793078331341,0.249983686539004
